ind	wgs	vlp.id	contig	Inducer	length	circularity	contig.length	unmmaped.reads.number	vlp.coverage	orf.number	uniprot.total.orf.number	uniprot.species	uniprot.species.orf.number	wgs.contig	pident	ind.len	wgs.len	alignment.len	ind.phage.total	ind.total	vlp.reads.number	vlp.total	shot.maptowgs.total	shotgun.total	shotgun.total.2	ratio
LM3984	wgs18	D3984	LM3984.contig1	Mitomycin C	18946	non-circular	18946	53	0.988969	21	18	Cronobacter phage ENT47670	6	wgs18.contig7	100	18946	310670	15909	2657	88356	673	9815116	1631220	8879628	6171168	0.183703642
LM3654	wgs13	D3654	LM3654.contig4	Mitomycin C	13169	non-circular	13169	70	0.982535	19	18	Erwinia phage EtG	5	wgs13.contig6	100	13169	304485	13169	5224	209382	241	10610270	929376	5669372	4582092	0.163929268
BN3451	wgs1	D3451	BN3451.contig2	No inducer	19680	non-circular	19680	478	0.996596	24	18	Phage Wrath	3	wgs1.contig15	100	19680	64732	12849	23524	195906	2748	11249492	300152	8997444	2377460	0.033359696
DM3400	wgs22	D3400	DM3400.contig6	Mitomycin C	9857	non-circular	9857	239	1	21	17	Enterobacteria phage HK446	2	wgs22.contig74	94.84	9857	15933	213	10639	2382644	1	10292330	9753467	9846934	9770662	0.99050801
LM3984	wgs18	D3984	LM3984.contig3	Mitomycin C	11368	non-circular	11368	197	1	25	17	Escherichia phage HK639	5	wgs18.contig21	100	11368	6943	6943	11307	88356	100252	9815116	1631220	8879628	6171168	0.183703642
LM3984	wgs18	D3984	LM3984.contig4	Mitomycin C	9610	non-circular	9610	233	1	18	17	Escherichia phage HK639	6	wgs18.contig1	100	9610	1025671	8940	10679	88356	149021	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig5	No inducer	8671	non-circular	8671	268	1	18	17	Escherichia phage HK639	3	wgs18.contig1	99.97	8671	1025671	5931	16253	128186	123643	9815116	1631220	8879628	6171168	0.183703642
LC3451	wgs10	D3451	LC3451.contig3	Cipro	17266	non-circular	17266	302	0.990617	23	17	Phage Wrath	5	wgs10.contig1	100	17266	756209	17198	12199	150978	1801	11249492	335182	8997444	2377460	0.037253024
BN3451	wgs1	D3451	BN3451.contig3	No inducer	10386	non-circular	10386	191	0.997208	21	17	Enterococcus phage vB_EfaS_IME197	3	wgs1.contig15	100	10386	64732	10386	7315	195906	784	11249492	300152	8997444	2377460	0.033359696
EM3404	wgs4	D3404	EM3404.contig3	Mitomycin C	20610	non-circular	20610	695	0.998738	26	17	Lactobacillus phage iA2	5	wgs4.contig237	100	20610	497	497	39404	237916	0	11405602	50940	6083826	2979002	0.008373021
LN3651	wgs12	D3651	LN3651.contig4	No inducer	12479	non-circular	12479	205	0.993509	20	16	Enterobacteria phage P88	10	wgs12.contig121	99.33	12479	8017	7897	13560	78854	242	11044108	1439076	7695824	5127024	0.186994401
LN3651	wgs12	D3651	LN3651.contig5	No inducer	12392	non-circular	12392	22	0.993544	20	16	Enterobacteria phage 933W sensu lato	2	wgs12.contig12	98.74	12392	16117	5547	1500	78854	12	11044108	1439076	7695824	5127024	0.186994401
LB3451	wgs10	D3451	LB3451.contig2	Carbadox	15677	non-circular	15677	60	0.991133	22	16	Phage Wrath	5	wgs10.contig1	100	15677	756209	15677	4833	236210	1733	11249492	335182	8997444	2377460	0.037253024
LB3451	wgs10	D3451	LB3451.contig4	Carbadox	9706	non-circular	9706	16	0.98434	17	16	Enterococcus phage phiEf11	5	wgs10.contig7	100	9706	130829	9541	1378	236210	60	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig11	Mitomycin C	14408	non-circular	14408	332	0.993823	16	16	Enterobacteria phage mEp460	13	NA	NA	NA	NA	NA	21471	3061110	907	11965204	131711	7454292	4427480	0.01766915
LN4014	wgs20	D4014	LN4014.contig1	No inducer	23931	non-circular	23931	710	1	24	16	Pectobacterium phage ZF40	5	wgs20.contig4	93.6	23931	522725	125	45323	99918	1920	10310980	94294	8080992	3191546	0.011668617
EN3404	wgs4	D3404	EN3404.contig2	No inducer	18200	non-circular	18200	1216	0.999176	23	16	Lactobacillus phage iA2	4	wgs4.contig237	100	18200	497	497	48224	158738	3	11405602	50940	6083826	2979002	0.008373021
DNM3754	wgs24	D3754	DNM3754.contig4	No inducer	13227	non-circular	13227	53	0.999849	21	15	Escherichia phage phi467	2	wgs24.contig26	100	13227	79126	11317	2853	2886312	3066	12377160	3904731	5460912	4230680	0.715032764
LN4014	wgs20	D4014	LN4014.contig2	No inducer	13145	non-circular	13145	626	1	25	15	Pectobacterium phage ZF40	5	NA	NA	NA	NA	NA	36304	99918	2276	10310980	94294	8080992	3191546	0.011668617
EM3404	wgs4	D3404	EM3404.contig5	Mitomycin C	16370	non-circular	16370	34	0.958155	23	15	Salmonella phage SPN3UB	5	NA	NA	NA	NA	NA	3005	237916	0	11405602	50940	6083826	2979002	0.008373021
LN3894	wgs15	D3894	LN3894.contig2	No inducer	15949	non-circular	15949	24	0.981441	18	15	Salmonella phage SEN34	10	NA	NA	NA	NA	NA	2187	162544	952	7246360	2797	8103910	2787650	0.000345142
LN3894	wgs15	D3894	LN3894.contig4	No inducer	8167	non-circular	8167	94	0.979307	15	15	Enterococcus phage EF62phi	15	wgs15.contig15	100	8167	28901	7823	5161	162544	2717	7246360	2797	8103910	2787650	0.000345142
LB3451	wgs10	D3451	LB3451.contig3	Carbadox	11444	non-circular	11444	36	0.994583	15	14	Bacillus phage BCJA1c	8	wgs10.contig18	100	11444	9987	9987	2112	236210	398	11249492	335182	8997444	2377460	0.037253024
DNM3734	wgs23	D3734	DNM3734.contig4	No inducer	10976	non-circular	10976	447	0.994169	15	14	Escherichia virus Lambda	11	NA	NA	NA	NA	NA	23669	2175788	8086	11965204	131711	7454292	4427480	0.01766915
LN4014	wgs20	D4014	LN4014.contig4	No inducer	11283	non-circular	11283	15	0.963751	16	14	Escherichia phage D108	9	NA	NA	NA	NA	NA	1036	99918	62	10310980	94294	8080992	3191546	0.011668617
LN3894	wgs15	D3894	LN3894.contig3	No inducer	9618	non-circular	9618	13	0.974319	14	14	Salmonella phage SEN34	14	NA	NA	NA	NA	NA	544	162544	0	7246360	2797	8103910	2787650	0.000345142
DM3400	wgs22	D3400	DM3400.contig3	Mitomycin C	12787	non-circular	12787	169	0.99914	16	13	Enterobacteria phage cdtI	3	wgs22.contig69	91.95	12787	18114	1428	9709	2382644	6	10292330	9753467	9846934	9770662	0.99050801
DM3400	wgs22	D3400	DM3400.contig5	Mitomycin C	11988	non-circular	11988	253	0.996413	13	13	Enterobacteria phage VT1-Sakai	4	wgs22.contig73	77.29	11988	16049	1559	18115	2382644	0	10292330	9753467	9846934	9770662	0.99050801
DM3400	wgs22	D3400	DM3400.contig9	Mitomycin C	6516	non-circular	6516	158	1	13	13	Enterobacteria phage 933W sensu lato	6	wgs22.contig74	95.85	6516	15933	530	9102	2382644	2	10292330	9753467	9846934	9770662	0.99050801
LM3984	wgs18	D3984	LM3984.contig5	Mitomycin C	6925	non-circular	6925	255	1	14	13	Enterobacteria phage BP-4795	1	wgs18.contig1	99.98	6925	1025671	4771	14176	88356	102295	9815116	1631220	8879628	6171168	0.183703642
LN3984	wgs18	D3984	LN3984.contig3	No inducer	19495	non-circular	19495	65	0.980405	22	13	Enterobacteria phage mEp237	4	wgs18.contig2	99.95	19495	721104	13359	2893	128186	4021	9815116	1631220	8879628	6171168	0.183703642
DM3951	wgs25	D3951	DM3951.contig3	Mitomycin C	34359	non-circular	34359	517	0.999389	28	13	Bacillus phage proCM3	2	wgs25.contig21	100	34359	97922	30204	39698	2738854	3391	8458284	866608	9746080	6326444	0.088918622
LC3451	wgs10	D3451	LC3451.contig4	Cipro	12088	non-circular	12088	212	0.997022	18	13	Bacillus phage vB_BtS_BMBtp15	3	wgs10.contig1	100	12088	756209	12031	10607	150978	1144	11249492	335182	8997444	2377460	0.037253024
LM3451	wgs10	D3451	LM3451.contig3	Mitomycin C	11410	non-circular	11410	139	0.999825	18	13	Bacillus phage vB_BtS_BMBtp15	3	wgs10.contig1	100	11410	756209	11407	6365	108906	1056	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig20	Mitomycin C	7937	non-circular	7937	848	1	13	13	Enterobacteria phage 933W sensu lato	2	NA	NA	NA	NA	NA	49999	3061110	9827	11965204	131711	7454292	4427480	0.01766915
